2021/09/24 16:38:15.436 [1;34m[I][0m [npc.go:225]  the version of client is 0.26.4, the core version of client is 0.26.0
2021/09/24 19:24:42.900 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49155->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:47.903 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50082->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:52.908 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52536->144.144.144.144:53: write: no buffer space available
2021/09/24 19:24:57.911 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59879->144.144.144.144:53: write: no buffer space available
2021/09/24 19:25:02.915 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:56502->144.144.144.144:53: write: no buffer space available
2021/09/24 19:25:07.919 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60736->144.144.144.144:53: write: no buffer space available
2021/09/24 19:25:12.925 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52818->144.144.144.144:53: write: no buffer space available
2021/09/24 19:25:17.930 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58849->144.144.144.144:53: write: no buffer space available
2021/09/24 19:25:22.935 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50099->144.144.144.144:53: write: no buffer space available
2021/09/24 19:25:27.941 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63245->144.144.144.144:53: write: no buffer space available
2021/09/24 19:25:32.947 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on [::1]:53: read udp [::1]:62585->[::1]:53: read: connection refused
2021/09/24 19:25:37.950 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on [::1]:53: read udp [::1]:63187->[::1]:53: read: connection refused
2021/09/24 19:25:42.954 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50122->144.144.144.144:53: write: no buffer space available
2021/09/24 19:25:47.958 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:56356->144.144.144.144:53: write: no buffer space available
2021/09/24 19:25:52.959 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51755->144.144.144.144:53: write: no buffer space available
2021/09/24 19:25:57.967 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64163->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:02.970 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61367->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:07.975 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61947->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:12.980 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55556->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:17.984 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:53014->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:22.989 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:53164->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:27.995 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59988->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:33.000 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54747->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:38.007 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62337->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:43.012 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64109->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:48.015 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:65476->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:53.020 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60663->144.144.144.144:53: write: no buffer space available
2021/09/24 19:26:58.025 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55105->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:03.028 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61469->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:08.032 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:65069->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:13.034 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55382->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:18.041 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:62206->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:23.045 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60689->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:28.049 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:57521->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:33.053 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60747->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:38.058 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54760->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:43.064 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54494->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:48.071 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63601->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:53.073 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55444->144.144.144.144:53: write: no buffer space available
2021/09/24 19:27:58.078 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59248->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:03.085 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55929->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:08.092 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60882->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:13.095 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:53952->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:18.098 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59099->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:23.101 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50449->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:28.105 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59031->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:33.111 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58701->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:38.115 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:56194->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:43.117 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:53665->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:48.123 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54190->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:53.128 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50404->144.144.144.144:53: write: no buffer space available
2021/09/24 19:28:58.132 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52893->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:03.136 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50627->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:08.139 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51758->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:13.144 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63934->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:18.148 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61921->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:23.150 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54770->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:28.154 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52560->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:33.158 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52137->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:38.164 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:65097->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:43.166 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58898->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:48.169 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51454->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:53.176 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54247->144.144.144.144:53: write: no buffer space available
2021/09/24 19:29:58.182 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50498->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:03.187 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50195->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:08.192 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58912->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:13.195 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:61646->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:18.200 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55710->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:23.205 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58213->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:28.207 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:56054->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:33.212 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59882->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:38.219 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63994->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:43.221 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51748->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:48.224 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:55993->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:53.226 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54386->144.144.144.144:53: write: no buffer space available
2021/09/24 19:30:58.233 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:54126->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:03.236 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59439->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:08.240 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:50341->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:13.247 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52378->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:18.250 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51152->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:23.252 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63464->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:28.256 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:49859->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:33.260 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64109->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:38.266 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52850->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:43.272 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51858->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:48.278 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:52086->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:53.285 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:59892->144.144.144.144:53: write: no buffer space available
2021/09/24 19:31:58.290 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64492->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:03.297 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:65214->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:08.300 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:57860->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:13.307 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:63816->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:18.309 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:51327->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:23.313 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:53053->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:28.319 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:60547->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:33.325 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:64359->144.144.144.144:53: write: no buffer space available
2021/09/24 19:32:38.329 [1;31m[E][0m [client.go:58]  The connection server failed and will be reconnected in five seconds, error dial tcp: lookup mb.nps.zwyxxd.press on 144.144.144.144:53: write udp 10.66.16.6:58961->144.144.144.144:53: write: no buffer space available
